time,value
2023-03-13T09:54:24.602Z,0
2023-03-13T09:54:26.744Z,0
2023-03-13T09:54:27.269Z,0
2023-03-13T09:54:27.27Z,0
2023-03-13T09:54:28.044Z,0
2023-03-13T09:54:29.129Z,0
2023-03-13T09:54:29.901Z,0
2023-03-13T09:54:31.32Z,0
2023-03-13T09:54:31.952Z,0
2023-03-13T09:54:34.04Z,0
2023-03-13T09:54:34.041Z,0
2023-03-13T09:54:35.425Z,0
2023-03-13T09:54:36.038Z,0
2023-03-13T09:54:37.09Z,0
2023-03-13T09:54:38.757Z,0
2023-03-13T09:54:39.112Z,0
2023-03-13T09:54:40.364Z,0
2023-03-13T09:54:41.592Z,0
2023-03-13T09:54:42.786Z,0
2023-03-13T09:54:42.995Z,0
2023-03-13T09:54:44.207Z,0
2023-03-13T09:54:45.24Z,0
2023-03-13T09:54:47.152Z,0
2023-03-13T09:54:47.427Z,0
2023-03-13T09:54:48.368Z,0
2023-03-13T09:54:49.369Z,0
2023-03-13T09:54:50.361Z,0
2023-03-13T09:54:52.33Z,0
2023-03-13T09:54:52.808Z,0
2023-03-13T09:54:53.728Z,0
2023-03-13T09:54:54.485Z,0
2023-03-13T09:54:56.624Z,0
2023-03-13T09:54:56.625Z,0
2023-03-13T09:54:57.568Z,0
2023-03-13T09:54:58.949Z,0
2023-03-13T09:55:01.024Z,0
2023-03-13T09:55:04.517Z,0
2023-03-13T09:55:19.754Z,0
2023-03-13T09:55:19.755Z,0
2023-03-13T09:55:19.756Z,0
2023-03-13T09:55:19.757Z,0
2023-03-13T09:55:20.284Z,0
2023-03-13T09:55:20.285Z,0
2023-03-13T09:55:20.287Z,0
2023-03-13T09:55:20.288Z,0
2023-03-13T09:55:20.289Z,0
2023-03-13T09:55:20.29Z,0
2023-03-13T09:55:20.292Z,0
2023-03-13T09:55:20.293Z,0
2023-03-13T09:55:20.294Z,0
2023-03-13T09:55:20.296Z,0
2023-03-13T09:55:20.604Z,0
2023-03-13T09:55:20.605Z,0
2023-03-13T09:55:20.606Z,0
2023-03-13T09:55:20.607Z,0
2023-03-13T09:55:20.608Z,0
2023-03-13T09:55:21.026Z,0
2023-03-13T09:55:21.985Z,0
2023-03-13T09:55:22.945Z,0
2023-03-13T09:55:24.201Z,0
2023-03-13T09:55:25.041Z,0
2023-03-13T09:55:26.747Z,0
2023-03-13T09:55:27.185Z,0
2023-03-13T09:55:28.884Z,0
2023-03-13T09:55:29.361Z,0
2023-03-13T09:55:30.226Z,0
2023-03-13T09:55:31.59Z,0
2023-03-13T09:55:32.229Z,0
2023-03-13T09:55:33.804Z,0
2023-03-13T09:55:34.066Z,0
2023-03-13T09:56:51.005Z,0
2023-03-13T09:56:54.131Z,0
2023-03-13T09:56:54.132Z,0
2023-03-13T09:56:54.729Z,0
2023-03-13T09:56:55.155Z,0
2023-03-13T09:56:56.131Z,0
2023-03-13T09:56:57.01Z,0
2023-03-13T09:56:57.961Z,0
2023-03-13T09:56:59.163Z,0
2023-03-13T09:57:00.048Z,0
2023-03-13T09:57:01.451Z,0
2023-03-13T09:57:02.037Z,0
2023-03-13T09:57:04.082Z,0
2023-03-13T09:57:04.358Z,0
2023-03-13T09:57:10.604Z,0
2023-03-13T09:57:10.605Z,0
2023-03-13T09:57:11.561Z,0
2023-03-13T09:57:11.562Z,0
2023-03-13T09:57:11.564Z,0
2023-03-13T09:57:11.565Z,0
2023-03-13T09:57:11.93Z,0
2023-03-13T09:57:12.972Z,0
2023-03-13T09:57:13.153Z,0
2023-03-13T09:57:14.369Z,0
2023-03-13T09:57:15.609Z,0
2023-03-13T09:57:17.043Z,0
2023-03-13T09:57:18.833Z,0
2023-03-13T09:57:19.99Z,0
2023-03-13T09:57:20.663Z,0
2023-03-13T09:57:20.664Z,0
2023-03-13T09:57:21.761Z,0
2023-03-13T09:57:22.602Z,0
2023-03-13T09:57:25.167Z,0
2023-03-13T09:57:25.168Z,0
2023-03-13T09:57:25.479Z,0
2023-03-13T09:57:27.042Z,0
2023-03-13T09:57:28.559Z,0
2023-03-13T09:57:28.992Z,0
2023-03-13T09:57:29.72Z,0
2023-03-13T09:57:32.283Z,0
2023-03-13T09:57:32.284Z,0
2023-03-13T09:57:32.802Z,0
2023-03-13T09:57:34.281Z,0
2023-03-13T09:57:35.312Z,0
2023-03-13T09:57:35.689Z,0
2023-03-13T09:57:37.035Z,0
2023-03-13T09:57:39.072Z,0
2023-03-13T09:57:39.915Z,0
